"city","population","country","lat","lng"
"Buenos Aires",13076300,"Argentina",-34.6132,-58.3772
"Sao Paulo",10021295,"Brazil",-23.5475,-46.6361
"Lima",7737002,"Peru",-12.0432,-77.0282
"Bogota",7674366,"Colombia",4.60971,-74.0817
"Rio de Janeiro",6023699,"Brazil",-22.9064,-43.1822
"Santiago",4837295,"Chile",-33.4569,-70.6483
"Caracas",3000000,"Venezuela",10.488,-66.8792
"Salvador",2711840,"Brazil",-12.9711,-38.5108
"Fortaleza",2400000,"Brazil",-3.71722,-38.5431
"Cali",2392877,"Colombia",3.43722,-76.5225
"Belo Horizonte",2373224,"Brazil",-19.9208,-43.9378
"Maracaibo",2225000,"Venezuela",10.6666,-71.6124
"Brasilia",2207718,"Brazil",-15.7797,-47.9297
"La Paz",2004652,"Bolivia",-16.5,-68.15
"Medellin",1999979,"Colombia",6.25184,-75.5636
"Guayaquil",1952029,"Ecuador",-2.19616,-79.8862
"Santa Cruz de la Sierra",1831434,"Bolivia",-17.7863,-63.1812
"Maracay",1754256,"Venezuela",10.2353,-67.5911
"Curitiba",1718421,"Brazil",-25.4278,-49.2731
"Valencia",1619470,"Venezuela",10.162,-68.0077
"Manaus",1598210,"Brazil",-3.10194,-60.025
"Asuncion",1482200,"Paraguay",-25.2865,-57.647
"Recife",1478098,"Brazil",-8.05389,-34.8811
"Cordoba",1428214,"Argentina",-31.4135,-64.1811
"Belem",1407737,"Brazil",-1.45583,-48.5044
"Quito",1399814,"Ecuador",-0.22985,-78.5249
"Barranquilla",1380425,"Colombia",10.9685,-74.7813
"Porto Alegre",1372741,"Brazil",-30.0328,-51.2302
"Montevideo",1270737,"Uruguay",-34.9033,-56.1882
"Rosario",1173533,"Argentina",-32.9468,-60.6393
"Goiania",1171195,"Brazil",-16.6786,-49.2539
"Guarulhos",1169577,"Brazil",-23.4628,-46.5333
"Barquisimeto",1114097,"Venezuela",10.0647,-69.357
"Campinas",1031554,"Brazil",-22.9056,-47.0608
"Nova Iguacu",1002118,"Brazil",-22.7592,-43.4511
"Maceio",954991,"Brazil",-9.66583,-35.7353
"Cartagena",952024,"Colombia",10.3997,-75.5144
"Ciudad Guayana",950052,"Venezuela",8.35122,-62.641
"Sao Luis",917237,"Brazil",-2.52972,-44.3028
"Mendoza",876884,"Argentina",-32.8908,-68.8272
"Cochabamba",841276,"Bolivia",-17.3895,-66.1568
"Arequipa",841130,"Peru",-16.3989,-71.535
"Duque de Caxias",818329,"Brazil",-22.7856,-43.3117
"Callao",813264,"Peru",-12.0566,-77.1181
"San Miguel de Tucuman",781023,"Argentina",-26.8241,-65.2226
"Natal",763043,"Brazil",-5.795,-35.2094
"Trujillo",747450,"Peru",-8.11599,-79.03
"Teresina",744512,"Brazil",-5.08917,-42.8019
"Sao Bernardo do Campo",743372,"Brazil",-23.6939,-46.565
"Campo Grande",729151,"Brazil",-20.4428,-54.6464
"Cucuta",721398,"Colombia",7.89391,-72.5078
"Jaboatao",702621,"Brazil",-8.18028,-35.0014
"La Plata",694167,"Argentina",-34.9215,-57.9545
"Osasco",677856,"Brazil",-23.5325,-46.7917
"Santo Andre",662373,"Brazil",-23.6639,-46.5383
"Joao Pessoa",650883,"Brazil",-7.115,-34.8631
"Jaboatao dos Guararapes",630008,"Brazil",-8.11278,-35.0147
"Contagem",627123,"Brazil",-19.9317,-44.0536
"Ribeirao Preto",619746,"Brazil",-21.1775,-47.8103
"Feira de Santana",619609,"Brazil",-12.2667,-38.9667
"Sao Jose dos Campos",613764,"Brazil",-23.1794,-45.8869
"Chiclayo",577375,"Peru",-6.77137,-79.8409
"Bucaramanga",571820,"Colombia",7.12539,-73.1198
"Uberlandia",563536,"Brazil",-18.9186,-48.2772
"Sorocaba",558862,"Brazil",-23.5017,-47.4581
"Mar del Plata",553935,"Argentina",-38.0004,-57.5562
"Maturin",529376,"Venezuela",9.74569,-63.1832
"Cuiaba",521934,"Brazil",-15.5961,-56.0967
"Salta",512686,"Argentina",-24.7859,-65.4117
"Aparecida de Goiania",510770,"Brazil",-16.8233,-49.2439
"Puente Alto",510417,"Chile",-33.6117,-70.5758
"Barcelona",506016,"Venezuela",10.1362,-64.6862
"Aracaju",490175,"Brazil",-10.9111,-37.0717
"Santa Fe",489505,"Argentina",-31.6488,-60.7087
"Londrina",471832,"Brazil",-23.3103,-51.1628
"Juiz de Fora",470193,"Brazil",-21.7642,-43.3503
